Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Solidity,Extent,Perimeter,MaxRadius,MeanRadius,MedianRadius,IntegratedInt,medianSTDInt,meanInt,dx,dy,Magnitude,Angle,FractalDimMean,FractalDimSTD,FractalDimLacunarity,Class
7,5.175277457,2.14892154,0.909717252,22.5,0.777777778,0.583333333,8.055,1,1,1,216,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,6.344513555,2.482703047,0.920256815,55.081302,0.8,0.4,11.049,1,1,1,216,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.333333333,2.581988897,0.632455532,-45,1,0.666666667,5.905,1.414213538,1.069035649,1,217,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,4.163331999,2.496255699,0.80031391,30.96375653,1,0.583333333,7.402,1.414213538,1.059173346,1,220,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,45,1,0.777777778,6.186,1.414213538,1.059173346,1,220,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,224,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,5.262061452,1.926673253,0.930558128,75.32112323,0.875,0.7,8.328,1,1,1,224,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,4.312826484,2.228038055,0.856222401,-8.349622117,1,0.875,6.922,1,1,1,224,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.464101615,2.309401077,0.745355992,90,1,1,5.516,1,1,1,226,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,228,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.763583333,2.727798137,0.688972486,-59.52730205,1,0.777777778,6.831,1,1,1,228,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,229,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,90,1,0.777777778,6.368,1.414213538,1.059173346,1,232,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,4.525149688,2.38744446,0.849496296,-22.5,0.875,0.583333333,7.592,1,1,1,232,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,-45,1,0.777777778,6.186,1.414213538,1.059173346,1,232,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,232,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,233,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,-45,1,0.777777778,6.186,1.414213538,1.059173346,1,233,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,90,1,0.777777778,6.368,1.414213538,1.059173346,1,233,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,233,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,5.514176181,1.836202282,0.942928004,4.731161104,0.857142857,0.6,8.51,1,1,1,235,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,236,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,45,1,0.777777778,6.186,1.414213538,1.059173346,1,237,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,-45,1,0.888888889,6.831,1.414213538,1.051776648,1,240,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,3.651483717,2.972092417,0.580947502,45,1,0.888888889,6.831,1.414213538,1.051776648,1,240,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,241,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.82702156,2.75905951,0.692995696,-10.90070474,0.875,0.583333333,7.22,1.414213538,1.059173346,1,242,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
8,4.618802154,2.309401077,0.866025404,0,1,1,7.476,1,1,1,244,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
